epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,822.001,0.83648,0.55516,1.0576,0.8025,0.73766,0.79788,0.51978,1.25952,0.93848,1.41076,0.001703,0.001703,0.001703
152,827.485,0.8482,0.55746,1.04347,0.8292,0.71688,0.79076,0.51706,1.25111,0.94171,1.38346,0.00170102,0.00170102,0.00170102
153,832.792,0.80563,0.5356,1.03538,0.80937,0.75358,0.812,0.5316,1.23245,0.91325,1.38951,0.00169904,0.00169904,0.00169904
154,838.1,0.8103,0.54421,1.05786,0.83335,0.7447,0.81804,0.53972,1.24076,0.89204,1.40185,0.00169706,0.00169706,0.00169706
155,843.428,0.80555,0.53281,1.04405,0.82308,0.7331,0.80268,0.53147,1.22348,0.93413,1.40833,0.00169508,0.00169508,0.00169508
156,848.761,0.80325,0.53553,1.04918,0.82958,0.76537,0.82385,0.53847,1.21639,0.88734,1.37891,0.0016931,0.0016931,0.0016931
157,854.253,0.80651,0.53239,1.03432,0.82837,0.77229,0.82068,0.54608,1.21268,0.84623,1.37466,0.00169112,0.00169112,0.00169112
158,859.771,0.81196,0.52713,1.03765,0.86559,0.76883,0.82966,0.55177,1.21927,0.86222,1.38163,0.00168914,0.00168914,0.00168914
159,865.163,0.79258,0.52083,1.03683,0.84605,0.73273,0.81463,0.54162,1.23428,0.94361,1.39488,0.00168716,0.00168716,0.00168716
160,870.621,0.81552,0.53704,1.05342,0.84358,0.74372,0.80918,0.54064,1.2353,0.9694,1.38322,0.00168518,0.00168518,0.00168518
